code,system
0208020V0AABBBB,bnf
0208020V0AAADAD,bnf
0208020V0AAAAAA,bnf
0208020V0AAABAB,bnf
0208020X0AAABAB,bnf
0208020Y0AAAAAA,bnf
0208020X0BBABAB,bnf
0208020N0AAAAAA,bnf
0208020Y0BBAAAA,bnf
0208020V0AAANAN,bnf
0208020V0AAAIAI,bnf
0208020V0AAAMAM,bnf
0208020Z0BBAAAA,bnf
0208020Z0BBABAB,bnf
0208020Z0AAABAB,bnf
0208020Z0AAAAAA,bnf
0208020AAAAAAAA,bnf
0208020AAAAABAB,bnf
0208020AAAAACAC,bnf
0208020AABBAAAA,bnf
0208020AABBABAB,bnf
0208020AABBACAC,bnf
0208020Y0AAADAD,bnf
0208020Y0AAACAC,bnf
0208020Y0AAAEAE,bnf
0208020Y0AAABAB,bnf
0208020S0BBAAAA,bnf
0208020S0AAAAAA,bnf
0208020H0BBAAAA,bnf
0208020H0AAAAAA,bnf
0208020X0AAACAC,bnf
0208020X0BBACAC,bnf
0208020N0AAACAC,bnf
0208020Y0BBABAB,bnf
0208020Y0BBACAC,bnf
0208020Y0BBADAD,bnf
0208020Y0BBAEAE,bnf
0208020V0BBAAAA,bnf
0208020V0BBABAB,bnf
0208020V0BBACAD,bnf
0208020N0AAABAB,bnf
0208020V0BBAFAS,bnf
0208020V0AAASAS,bnf
0208020X0BBAAAA,bnf
0208020X0AAAAAA,bnf
